E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
1552,993.28,270,31.003,209.0,299.9177632,48.62,5.247076015,40.0,28.0,Poor
763,488.32,120,17.11204545,84.0,199.9506579,29.172,2.582795561,32.0,10.0,Poor
1699,1087.36,190,1.811863636,136.0,279.9259868,43.758,3.534186498,40.0,1.0,Poor
1250,800.0,230,89.18395455,182.0,219.9588816,24.31,5.335471453,48.0,8.0,Poor
1210,774.4,180,110.9263182,145.0,239.9506579,29.172,4.06985741,48.0,21.0,Poor
580,371.2,10,33.2175,14.1310685,259.9424342,34.034,0.381073347,48.0,1.75,Moderate
1872,1198.08,270,239.166,121.5265423,679.8930921,63.206,2.026389802,168.0,1.0,Poor
900,576.0,80,40.52535,32.06496904,379.9342105,38.896,0.71523505,88.0,3.8,Poor
463,296.32,70,2.6574,41.8859952,139.9835526,9.724,1.539226377,40.0,2.17,Moderate
955,611.2,50,35.432,82.63768615,299.9424342,34.034,2.074585588,64.0,2.1,Bad
1870,1196.8,380,272.3835,101.4417798,719.8601974,82.654,1.643860438,152.0,3.1,Poor
2350,1504.0,530,205.9485,257.8130012,619.8930921,63.206,4.50213569,144.0,5.0,Bad
1262,807.68,180,42.29695,98.64370488,419.9259868,43.758,2.092932218,96.0,2.3,Poor
1130,723.2,150,88.58,76.98178831,399.9095395,53.482,1.673706403,72.0,2.65,Poor
1943,1243.52,340,101.867,257.3996798,419.8601974,82.654,5.461699647,32.0,1.4,Poor
970,620.8,60,59.7915,94.31462036,279.9588816,24.31,2.45077849,72.0,3.8,Poor
1184,757.76,110,108.5105,51.88061293,479.8930921,63.206,1.029686486,88.0,4.1,Poor
1010,646.4,80,25.46675,141.4692268,199.9506579,29.172,4.349834416,32.0,2.0,Poor
4860,3110.4,1050,44.29,161.7915062,2099.638158,213.928,1.535167097,488.0,2.3,Bad
1734,1109.76,310,106.296,97.65486215,659.8601974,82.654,1.652875221,128.0,2.75,Poor
473,302.72,20,9.7438,25.95773746,179.9671053,19.448,0.841283622,40.0,1.93,Moderate
1033,661.12,170,70.864,55.10541238,399.9013158,58.344,1.198091547,64.0,1.54,Poor
782,500.48,30,84.151,33.36323429,319.9259868,43.758,0.810990095,56.0,1.92,Poor
1090,697.6,70,77.5075,39.58012307,459.9177632,48.62,0.802433798,104.0,3.51,Poor
1466,938.24,210,70.864,118.3005616,479.8684211,77.792,2.347998877,64.0,2.57,Poor
1961,1255.04,270,139.5135,136.6798124,419.9013158,58.344,2.900032869,72.0,213.7,Poor
617,394.88,60,3.76465,31.34381556,239.9424342,34.034,0.879772731,40.0,2.74,Moderate
749,479.36,80,70.864,43.85447438,279.9424342,34.034,1.139598075,56.0,2.32,Moderate
982,628.48,220,20.8163,88.21230163,299.9753289,14.586,2.214412624,96.0,3.26,Poor
1486,951.04,200,34.1033,105.0818557,519.8684211,77.792,2.003794494,80.0,1.66,Poor
1349,863.36,180,46.28305,155.5836327,339.9506579,29.172,3.66883456,88.0,2.4,Poor
1860,1190.4,400,192.6615,208.3860012,479.8930921,63.206,4.13588501,88.0,5.0,Poor
1066,682.24,170,11.9583,89.49147492,339.9342105,38.896,2.110359254,72.0,3.01,Poor
619,396.16,80,14.1728,41.53655991,219.9835526,9.724,1.217608254,72.0,1.81,Moderate
920,588.8,140,19.0447,74.60801819,299.9917763,4.862,1.872849991,112.0,1.89,Poor
617,394.88,20,154.79355,22.93834923,259.9671053,19.448,0.618550447,72.0,1.37,Moderate
882,564.48,130,47.3903,74.85415728,279.9342105,38.896,1.945181368,48.0,2.15,Poor
1198,766.72,130,60.89875,111.089953,359.9095395,53.482,2.545952332,56.0,2.8,Poor
747,478.08,30,15.5015,52.41760271,259.9588816,24.31,1.413503828,64.0,2.6,Moderate
318,203.52,30,3.9861,26.43778932,99.98355263,9.724,1.149563641,24.0,2.45,Moderate
572,366.08,20,133.7558,20.88274977,239.9588816,24.31,0.586126604,56.0,2.74,Moderate
861,551.04,120,50.0477,70.29350433,279.9342105,38.896,1.826666947,48.0,1.61,Poor
383,245.12,20,3.9861,13.96250217,159.9671053,19.448,0.479976611,32.0,2.42,Moderate
1240,793.6,150,56.36909091,196.0,199.9753289,14.586,6.026151217,56.0,9.0,Poor
1009,645.76,210,34.82804545,179.0,200.0,5.0,5.503135384,80.0,7.0,Poor
726,464.64,30,64.42181818,116.0,139.9753289,14.586,4.262892735,32.0,5.0,Moderate
2019,1292.16,360,41.87418182,199.0,619.8273026,102.102,3.475280705,80.0,11.0,Poor
1556,995.84,230,102.6722727,136.0,439.9013158,58.344,2.819249044,80.0,34.0,Poor
903,577.92,130,52.34272727,132.0,239.9588816,24.31,3.704910155,56.0,2.0,Poor
990,633.6,40,65.9921,82.12910913,319.9506579,29.172,1.996309035,80.0,1.14,Poor
1363,872.32,260,41.85405,85.40600488,499.9259868,43.758,1.660763206,128.0,2.13,Poor
1019,652.16,70,28.7885,69.61665085,359.9424342,34.034,1.59539698,88.0,2.59,Poor
1600,1024.0,330,11.9583,168.1888332,439.9424342,34.034,3.486353295,120.0,1.9,Poor
1292,826.88,130,9.52235,105.7912749,419.9342105,38.896,2.244560866,104.0,1.99,Poor
953,609.92,50,26.1311,36.05333963,399.9342105,38.896,0.783832715,96.0,2.31,Poor
1544,988.16,290,60.2344,106.0090289,539.9177632,48.62,1.983586813,136.0,7.31,Poor
610,390.4,70,50.9335,48.81981502,199.9506579,29.172,1.501090494,32.0,1.54,Moderate
1330,851.2,250,152.8005,114.0632183,419.9013158,58.344,2.420160493,72.0,2.96,Poor
670,428.8,60,6.42205,81.55781502,159.9506579,29.172,2.803785148,16.0,0.86,Moderate
980,627.2,230,15.72295,51.42502361,379.9095395,53.482,1.147113958,64.0,2.5,Poor
1371,877.44,300,31.4459,67.52827872,539.8766447,72.93,1.263602783,96.0,4.44,Poor
660,422.4,50,31.22445,50.60750271,219.9588816,24.31,1.483598275,48.0,2.6,Moderate
1705,1091.2,220,126.2265,100.4303429,639.8848684,68.068,1.726180432,144.0,2.2,Poor
670,428.8,20,77.5075,17.37714551,299.9342105,38.896,0.436252169,56.0,0.5,Moderate
345,220.8,50,2.2145,43.88047755,59.98355263,9.724,2.463357347,8.0,14.74,Moderate
595,380.8,10,14.83715,27.64329683,239.9588816,24.31,0.775878266,56.0,0.33,Moderate
610,390.4,60,50.9335,21.4156161,259.9342105,38.896,0.577525302,40.0,1.22,Moderate
1364,872.96,280,84.151,75.58033274,519.8601974,82.654,1.441244556,72.0,3.64,Poor
260,166.4,20,33.2175,5.076154025,119.9835526,9.724,0.201486567,32.0,0.22,Moderate
1483,949.12,310,44.29,122.5261322,479.8684211,77.792,2.431866906,64.0,2.1,Poor
450,288.0,40,31.22445,21.54214977,179.9588816,24.31,0.698191508,32.0,0.36,Moderate
370,236.8,10,44.29,12.02327167,159.9835526,9.724,0.41329215,48.0,0.57,Moderate
1164,744.96,120,0.68665,123.0606578,320.0,43.758,2.991345915,56.0,0.29,Poor
2820,1804.8,460,88.6,322.1284826,720.0,160.446,5.220557757,24.0,3.2,Bad
1388,888.32,190,1.17395,173.7189712,320.0,58.344,4.222905856,32.0,2.65,Poor
1260,806.4,250,27.5546,125.9555755,360.0,43.758,2.886575747,72.0,2.0,Poor
1970,1260.8,320,127.584,224.302459,500.0,106.964,4.362141847,24.0,5.8,Poor
1215,777.6,240,69.7725,97.37056424,400.0,48.62,2.116969024,80.0,1.55,Poor
2430,1555.2,380,170.7765,273.3512098,600.0,87.516,4.852562282,96.0,25.85,Bad
3814,2440.96,630,287.2810455,426.0,839.7697368,136.136,6.391483222,112.0,132.0,Bad
462,295.68,50,44.49131818,44.0,179.9424342,34.034,1.426126483,16.0,3.0,Moderate
425,272.0,40,34.82804545,36.0,159.9506579,29.172,1.237603843,16.0,2.0,Moderate
340,217.6,40,76.29959091,67.0,139.9588816,24.31,2.462332714,16.0,1.0,Moderate
1127,721.28,120,69.25345455,116.0,319.9013158,58.344,2.819824892,32.0,7.0,Poor
1485,950.4,140,151.5925909,193.0,359.8848684,68.068,4.423313079,32.0,2.0,Poor
722,462.08,50,42.47813636,72.0,199.9424342,34.034,2.213870294,24.0,5.0,Moderate
1244,796.16,170,37.24386364,134.0,319.9095395,53.482,3.25734206,40.0,46.0,Poor
1381,883.84,260,47.51109091,154.0,399.9013158,58.344,3.348239135,64.0,8.0,Poor
1118,715.52,170,2.415818182,128.0,299.9095395,53.482,3.213564297,32.0,8.0,Poor
1394,892.16,200,47.10845455,152.0,419.9013158,58.344,3.225092194,72.0,2.0,Poor
717,458.88,140,22.34631818,61.0,259.9342105,38.896,1.645016575,40.0,2.0,Moderate
1510,966.4,240,130.8568182,120.0,479.8930921,63.206,2.381667667,88.0,9.0,Poor
1128,721.92,210,48.92031818,111.0,319.9259868,43.758,2.698176675,56.0,8.0,Poor
750,480.0,20,5.636909091,58.0,239.9259868,43.758,1.628026661,24.0,7.0,Poor
946,605.44,90,27.37927273,75.0,339.8848684,68.068,1.768754314,24.0,6.0,Poor
2315,1481.6,340,134.8831818,256.0,459.9259868,43.758,5.190009525,112.0,102.0,Bad
700,448.0,80,19.9305,61.0,239.9259868,43.758,1.712234936,24.0,5.0,Moderate
1780,1139.2,250,7.9722,204.088137,439.8848684,68.068,4.230779719,64.0,12.0,Poor
2850,1824.0,580,7.30785,264.1625851,859.8684211,77.792,3.916764593,216.0,4.0,Bad
1812,1159.68,170,7.30785,142.7847594,559.9013158,58.344,2.623603938,128.0,35.0,Poor
1610,1030.4,120,6.42205,205.8761231,339.9177632,48.62,4.855022145,56.0,20.0,Poor
2110,1350.4,390,7.9722,135.2891455,759.9342105,38.896,2.133767617,240.0,9.0,Poor
2010,1286.4,480,0.66435,124.8112546,739.8848684,68.068,1.995004318,184.0,3.0,Poor
870,556.8,30,26.1311,35.94681076,359.9259868,43.758,0.823807852,72.0,1.0,Poor
2280,1459.2,370,21.2592,251.3515851,599.8684211,77.792,4.461961231,112.0,4.0,Bad
1950,1248.0,220,19.70905,148.257707,659.8930921,63.206,2.509300378,160.0,2.0,Poor
2330,1491.2,270,1.99305,175.2754183,759.8108553,111.826,2.764651726,120.0,28.0,Bad
1275,816.0,90,29.2314,147.2480573,319.9342105,38.896,3.579244751,64.0,3.0,Poor
5440,3481.6,1500,167.19475,597.8544632,1439.84375,92.378,6.850305768,424.0,6.0,Bad
1745,1116.8,320,121.7975,163.8370391,519.9424342,34.034,3.123968335,152.0,4.0,Poor
2355,1507.2,340,66.435,273.0,539.8601974,82.654,5.108508925,80.0,113.0,Bad
565,361.6,40,38.04913636,89.0,139.9917763,4.862,3.196981731,48.0,14.0,Moderate
766,490.24,20,41.27022727,39.0,199.9588816,24.31,1.199130423,40.0,10.0,Poor
555,355.2,20,14.09227273,40.0,199.9588816,24.31,1.229877357,40.0,5.0,Moderate
735,470.4,30,18.92390909,44.0,319.9424342,34.034,0.9965982,72.0,16.0,Moderate
875,560.0,80,49.72559091,66.0,299.9424342,34.034,1.631798632,64.0,17.0,Poor
2080,1331.2,370,143.7411818,163.0,639.8601974,82.654,2.801671553,120.0,13.0,Poor
585,374.4,30,13.48831818,28.0,259.9424342,34.034,0.755077631,48.0,4.0,Moderate
1285,822.4,210,102.0683182,98.0,499.8930921,63.206,1.905722546,96.0,20.0,Poor
274,175.36,40,1.24012,12.31,99.97532895,14.586,0.535283425,16.0,2.26,Moderate
1358,869.12,130,184.6893,115.0,419.8601974,82.654,2.440156336,32.0,30.07,Poor
510,326.4,10,0.4429,51.22,179.9342105,38.896,1.660178811,8.0,0.53,Moderate
1887,1207.68,290,118.2543,197.0,519.8190789,106.964,3.756749891,32.0,1.0,Poor
2880,1843.2,390,417.6547,230.0,919.6463816,209.066,3.297536161,24.0,12.6,Bad
798,510.72,70,13.86277,83.0,219.9342105,38.896,2.433345977,24.0,0.84,Poor
793,507.52,60,159.8869,17.04,259.9671053,19.448,0.459496868,72.0,70.39,Poor
4170,2668.8,790,272.8264,532.4,899.6792763,189.618,7.717317222,48.0,18.8,Bad
507,324.48,50,0.4429,37.38,159.9671053,19.448,1.28497926,32.0,14.08,Moderate
524,335.36,30,150.586,35.31,199.9671053,19.448,1.085651912,48.0,7.69,Moderate
503,321.92,40,4.11897,51.73,99.99177632,4.862,2.249222921,32.0,35.83,Moderate
2410,1542.4,390,343.2475,260.4,619.8848684,68.068,4.547342085,136.0,3.4,Bad
1710,1094.4,90,42.9613,263.8,320.0,72.93,6.41,8.0,11.4,Poor
433,277.12,30,24.04947,6.18,219.9424342,34.034,0.181178277,32.0,12.4,Moderate
390,249.6,30,20.93709091,43.0,99.98355263,9.724,1.869718983,24.0,8.0,Moderate
442,282.88,30,24.3595,46.0,119.9753289,14.586,1.825929566,24.0,7.0,Moderate
540,345.6,40,60.19413636,53.0,139.9671053,19.448,1.947758208,24.0,14.0,Moderate
1251,800.64,140,95.62613636,135.0,359.9177632,48.62,3.093885891,64.0,6.0,Poor
872,558.08,80,29.49714,72.0,239.9506579,29.172,2.020894714,48.0,27.0,Poor
1116,714.24,120,39.19665,79.0,439.9342105,38.896,1.637590792,112.0,0.96,Poor
814,520.96,90,29.40856,72.0,259.9342105,38.896,1.941658908,40.0,26.0,Poor
339,216.96,60,3.49891,29.0,139.9753289,14.586,1.065723184,32.0,2.43,Moderate
854,546.56,80,29.27569,72.0,259.9588816,24.31,1.94156677,64.0,25.76,Poor
1489,952.96,180,191.3328,87.0,519.9342105,38.896,1.658888588,144.0,1.42,Poor
868,555.52,80,31.09158,72.0,279.9342105,38.896,1.871012428,48.0,25.73,Poor
809,517.76,80,77.0646,70.0,259.9671053,19.448,1.887604504,72.0,10.97,Poor
3034,1941.76,670,29.19113636,523.0,599.9095395,53.482,9.283911009,152.0,47.0,Bad
864,552.96,110,59.7915,97.0,339.9424342,34.034,2.287395215,80.0,6.0,Poor
812,519.68,100,61.80468182,74.0,439.8848684,68.068,1.534031834,64.0,1.0,Poor
1442,922.88,130,13.08568182,231.0,399.8766447,72.93,5.022513632,40.0,6.0,Poor
1197,766.08,130,7.851409091,138.0,519.8108553,111.826,2.63165272,24.0,9.0,Poor
982,628.48,80,12.68304545,54.0,519.8601974,82.654,1.02972828,72.0,2.0,Poor
388,248.32,30,5.636909091,66.0,99.99177632,4.862,2.869683217,32.0,4.0,Moderate
1001,640.64,120,6.240863636,93.0,379.9424342,34.034,2.074417713,96.0,5.0,Poor
2744,1756.16,650,60.79809091,156.0,1139.851974,87.516,2.008965759,312.0,5.0,Bad
1108,709.12,110,24.3595,224.0,339.8930921,63.206,5.282615645,32.0,1.0,Poor
1289,824.96,160,141.3253636,168.0,499.8766447,72.93,3.267006681,80.0,5.0,Poor
752,481.28,50,40.86759091,107.0,299.9342105,38.896,2.68622842,56.0,2.0,Poor
875,560.0,50,32.21090909,104.0,399.8766447,72.93,2.261218259,40.0,7.0,Poor
1118,715.52,130,35.83463636,225.0,379.8766447,72.93,5.019187102,32.0,5.0,Poor
509,325.76,30,8.455363636,41.0,159.9671053,19.448,1.409420804,32.0,2.0,Moderate
1325,848.0,200,157.0281818,123.0,459.8601974,82.654,2.493815757,48.0,5.0,Poor
1179,754.56,150,106.6986364,133.0,339.9259868,43.758,3.136401273,64.0,3.0,Poor
1568,1003.52,200,195.2786364,209.0,279.9835526,9.724,5.430654706,96.0,51.0,Poor
508,325.12,30,20.53445455,46.0,139.9588816,24.31,1.690556788,16.0,18.0,Moderate
1242,794.88,110,33.01618182,171.0,299.9013158,58.344,4.293179914,24.0,5.0,Poor
1666,1066.24,230,58.38227273,231.0,339.8848684,68.068,5.447763288,24.0,10.0,Poor
2950,1888.0,610,93.009,561.0,179.9671053,19.448,18.18186629,40.0,7.8,Bad
2080,1331.2,430,120.20306,105.0,799.7944079,121.55,1.614255525,120.0,6.1,Poor
1030,659.2,130,11.64827,104.0,319.9177632,48.62,2.528053881,48.0,22.0,Poor
2714,1736.96,590,35.34342,199.0,899.7532895,145.86,2.884453345,120.0,1.8,Bad
753,481.92,100,76.1788,42.0,299.9671053,19.448,1.054349602,88.0,0.73,Poor
2016,1290.24,130,20.94917,363.0,219.9342105,38.896,10.64222397,24.0,3.5,Poor
1796,1149.44,310,241.07047,66.0,679.9506579,29.172,1.100467954,224.0,1.08,Poor
484,309.76,50,5.53625,46.0,159.9753289,14.586,1.581260745,40.0,2.03,Moderate
1601,1024.64,260,115.95122,56.0,639.9424342,34.034,0.962475618,200.0,5.1,Poor
4534,2901.76,800,168.21342,610.0,879.7861842,126.412,8.94156278,144.0,0.9,Bad
2898,1854.72,490,85.30254,395.0,539.8355263,97.24,7.391601223,56.0,14.4,Bad
1544,988.16,90,143.0567,36.0,699.7368421,155.584,0.5917078,24.0,1.4,Poor
1396,893.44,170,74.8501,96.42,479.8848684,68.068,1.913686367,80.0,3.22,Poor
997,638.08,90,79.2791,57.48,359.8930921,63.206,1.31735301,40.0,1.69,Poor
1289,824.96,250,35.8749,43.2,539.9013158,58.344,0.808348651,120.0,4.53,Poor
1250,800.0,220,40.7468,77.39,419.9095395,53.482,1.642022637,80.0,3.66,Poor
669,428.16,60,30.73726,16.0,299.9259868,43.758,0.401684523,48.0,2.36,Moderate
1565,1001.6,200,187.7896,160.0,439.8930921,63.206,3.316794584,72.0,2.9,Poor
2580,1651.2,500,16.3873,283.0,619.7861842,126.412,4.942397303,40.0,31.9,Bad
635,406.4,40,26.35255,48.36,219.9424342,34.034,1.417763994,32.0,2.02,Moderate
1239,792.96,240,53.148,50.0,499.9342105,38.896,0.972267436,136.0,3.15,Poor
1356,867.84,120,159.444,95.04,459.8930921,63.206,1.926859943,80.0,3.05,Poor
1450,928.0,280,94.7806,57.52,599.8273026,102.102,1.02112269,72.0,1.86,Poor
1036,663.04,170,17.14023,40.2,419.9095395,53.482,0.852943662,80.0,4.5,Poor
950,608.0,70,26.30826,71.14,339.9095395,53.482,1.677661539,48.0,2.53,Poor
770,492.8,80,10.05383,62.69,239.9588816,24.31,1.759551648,56.0,1.32,Poor
2480,1587.2,390,393.7381,29.37,1199.638158,213.928,0.368681185,128.0,5.4,Bad
710,454.4,20,0.93009,47.84,279.9506579,29.172,1.243147293,64.0,1.45,Moderate
423,270.72,50,8.32652,32.19,139.9835526,9.724,1.182917986,40.0,1.6,Moderate
654,418.56,40,32.7746,27.81,259.9753289,14.586,0.749906442,80.0,2.19,Moderate
1392,890.88,230,103.1957,40.0,619.8519737,87.516,0.698534984,104.0,0.64,Poor
480,307.2,30,22.145,48.0,139.9753289,14.586,1.763955614,32.0,5.0,Moderate
941,602.24,120,23.75554545,95.0,299.9259868,43.758,2.385001854,48.0,6.0,Poor
710,454.4,100,41.87418182,71.0,219.9588816,24.31,2.081420182,48.0,10.0,Moderate
1286,823.04,150,81.73518182,152.0,339.9342105,38.896,3.58441524,72.0,11.0,Poor
752,481.28,70,21.54104545,88.0,199.9588816,24.31,2.705730185,40.0,5.0,Poor
2290,1465.6,320,227.2077,147.0,859.8519737,87.516,2.179604282,200.0,5.6,Bad
1414,904.96,160,73.0785,96.0,539.8930921,63.206,1.796344016,112.0,1.76,Poor
2340,1497.6,280,211.2633,231.0,679.8766447,72.93,3.851847484,152.0,5.5,Bad
2420,1548.8,280,366.7212,173.0,839.8355263,97.24,2.595500675,176.0,8.5,Bad
771,493.44,60,26.75116,75.0,239.9671053,19.448,2.105026517,64.0,3.8,Poor
826,528.64,70,31.4459,81.0,259.9588816,24.31,2.184262617,64.0,3.9,Poor
1235,790.4,140,68.6495,70.5,519.8848684,68.068,1.344335578,96.0,0.4,Poor
350,224.0,40,4.16326,29.0,119.9835526,9.724,1.151090059,32.0,2.6,Moderate
1126,720.64,130,26.574,55.0,459.9095395,53.482,1.115061047,96.0,11.8,Poor
610,390.4,70,25.82107,29.16,259.9588816,24.31,0.786334542,64.0,1.3,Moderate
1120,716.8,120,13.41987,118.5,319.9342105,38.896,2.880448889,64.0,1.4,Poor
962,615.68,60,1.55015,75.0,339.9506579,29.172,1.768583156,88.0,6.63,Poor
3120,1996.8,500,420.755,212.0,1099.745066,150.722,2.779470147,192.0,7.5,Bad
1465,937.6,180,91.2374,87.2,519.9259868,43.758,1.662715275,136.0,0.6,Poor
1305,835.2,50,240.9376,41.3,599.8355263,97.24,0.733172427,80.0,0.6,Poor
928,593.92,20,2.617136364,135.0,279.9342105,38.896,3.508148302,48.0,5.0,Poor
818,523.52,40,43.48472727,55.0,359.9835526,9.724,1.260356844,128.0,3.0,Poor
878,561.92,40,45.09527273,40.0,379.9259868,43.758,0.892241985,80.0,3.0,Poor
457,292.48,20,25.36609091,27.0,239.9424342,34.034,0.757848504,40.0,3.0,Moderate
627,401.28,40,21.94368182,68.0,259.9671053,19.448,1.833672946,72.0,2.0,Moderate
795,508.8,50,15.90413636,74.0,279.9671053,19.448,1.922872021,80.0,49.0,Poor
891,570.24,130,45.09527273,98.0,279.9342105,38.896,2.546655804,48.0,6.0,Poor
885,566.4,70,22.34631818,92.0,299.9342105,38.896,2.309654342,56.0,2.0,Poor
1545,988.8,180,141.728,164.0,459.8848684,68.068,3.324998486,72.0,6.0,Poor
634,405.76,60,4.630318182,70.0,199.9506579,29.172,2.152329634,32.0,2.0,Moderate
910,582.4,80,44.08868182,104.0,279.9342105,38.896,2.702573507,48.0,4.0,Poor
1268,811.52,150,43.68604545,136.0,379.9095395,53.482,3.033688414,64.0,8.0,Poor
817,522.88,70,67.44159091,90.0,259.9424342,34.034,2.427035242,48.0,4.0,Poor
338,216.32,20,4.026363636,42.0,99.97532895,14.586,1.826312256,16.0,2.0,Moderate
611,391.04,40,9.65522,58.16,199.9753289,14.586,1.788168137,56.0,1.46,Moderate
1774,1135.36,200,80.6078,181.5,539.8601974,82.654,3.396316373,80.0,3.1,Poor
1268,811.52,200,30.42723,77.44,439.9588816,24.31,1.605208547,136.0,20.41,Poor
937,599.68,50,3.1003,146.6,159.9753289,14.586,5.039409245,40.0,2.8,Poor
1113,712.32,50,1.63873,161.1,219.9259868,43.758,4.723124893,16.0,2.5,Poor
1597,1022.08,200,40.52535,91.7,579.9259868,43.758,1.655599225,160.0,3.22,Poor
2140,1369.6,390,40.3039,71.32,879.8848684,68.068,1.045371303,240.0,2.4,Poor
738,472.32,50,30.64868,70.99,219.9588816,24.31,2.081127024,48.0,0.43,Moderate
1332,852.48,140,49.1619,140.4,379.9259868,43.758,3.131769366,80.0,1.0,Poor
3210,2054.4,500,234.737,304.9,979.7286184,160.446,4.235226986,128.0,1.8,Bad
2170,1388.8,440,66.435,183.6,679.9177632,48.62,3.061375816,192.0,1.0,Poor
581,371.84,60,23.95686364,64.0,179.9671053,19.448,2.074223605,40.0,6.0,Moderate
638,408.32,60,6.039545455,67.0,179.9671053,19.448,2.171452837,40.0,2.0,Moderate
1620,1036.8,200,8.858,189.0,439.9013158,58.344,3.91792698,80.0,5.0,Poor
1027,657.28,100,10.46854545,108.0,279.9424342,34.034,2.806477419,56.0,11.0,Poor
629,402.56,50,38.45177273,66.0,199.9588816,24.31,2.029297639,40.0,4.0,Moderate
388,248.32,30,1.207909091,37.0,119.9753289,14.586,1.468682477,24.0,5.0,Moderate
904,578.56,30,29.14282,96.0,279.9671053,19.448,2.494536676,80.0,3.02,Poor
684,437.76,30,9.96525,81.0,159.9917763,4.862,2.784250798,56.0,1.71,Moderate
1055,675.2,80,16.16585,70.0,399.9424342,34.034,1.521848642,104.0,2.69,Poor
2680,1715.2,530,46.0616,221.0,779.9424342,34.034,3.440591902,256.0,0.16,Bad
1790,1145.6,270,77.5075,89.0,719.8519737,87.516,1.442250077,144.0,3.01,Poor
2600,1664.0,380,106.7389,209.0,839.84375,92.378,3.135589509,184.0,5.4,Bad
1241,794.24,60,28.83279,69.0,499.9095395,53.482,1.341762169,112.0,1.82,Poor
2020,1292.8,260,140.8422,114.0,719.8930921,63.206,1.847323743,184.0,25.58,Poor
1054,674.56,120,28.30131,78.0,379.9342105,38.896,1.73985304,88.0,0.91,Poor
3120,1996.8,530,232.5225,322.0,799.9013158,58.344,4.950052785,224.0,2.9,Bad
2500,1600.0,490,83.2652,109.0,919.9342105,38.896,1.562500903,304.0,3.83,Bad
2050,1312.0,240,131.0984,145.0,699.9342105,38.896,2.382931486,216.0,6.7,Poor
1556,995.84,250,74.4072,190.0,399.9259868,43.758,4.130816969,88.0,0.7,Poor
1126,720.64,70,23.73944,82.0,419.9013158,58.344,1.739852368,72.0,0.92,Poor
650,416.0,50,7.75075,31.0,299.9835526,9.724,0.778189086,104.0,0.26,Moderate
3070,1964.8,660,128.8839,185.0,1079.925987,43.758,2.447636362,360.0,0.9,Bad
867,554.88,110,16.43159,54.0,319.9753289,14.586,1.312525279,104.0,0.17,Poor
973,622.72,70,31.97738,43.0,399.9917763,4.862,0.934792218,152.0,0.2,Poor
529,338.56,20,11.20537,34.0,199.9835526,9.724,1.045331268,64.0,0.12,Moderate
1169,748.16,120,178.0458,102.98,339.9588816,24.31,2.428353206,96.0,2.25,Poor
1221,781.44,150,14.65999,210.9,139.9588816,24.31,7.750835363,16.0,1.8,Poor
618,395.52,60,9.03516,24.11,239.9835526,9.724,0.676672669,80.0,3.65,Moderate
1429,914.56,170,9.07945,113.79,479.9259868,43.758,2.258338966,120.0,3.33,Poor
1530,979.2,230,169.1878,96.91,479.9259868,43.758,1.923329196,120.0,4.59,Poor
1024,655.36,70,37.77937,107.8,279.9588816,24.31,2.80119795,72.0,1.0,Poor
634,405.76,80,19.57618,40.17,219.9506579,29.172,1.177636785,40.0,3.27,Moderate
318,203.52,20,3.221090909,42.0,100.0,5.0,1.826086957,40.0,2.0,Moderate
